"","baseWidth"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 003",11.9267153259313
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 004",12.4430632596567
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 005",14.267263297093
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 008",16.0963140520319
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 011",15.9067445213498
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 012",12.0742421128232
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 014",14.6765448197625
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 017",14.2113294469381
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 020",14.4238790857286
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 021",12.4175738578267
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 022",14.2120189658462
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 024",13.2006559507626
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 001",18.1195353864479
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 003",19.8011145204747
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 004",18.6994904421048
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 006",23.3991310405702
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 007",18.3829127053721
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 008",18.8925043173832
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 010",12.7046591855979
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 012",10.711072200687
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 013",18.9949545549451
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 014",19.4530398612148
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 002",14.229093041427
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 006",9.90459797320921
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 008",18.1882924102428
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 010",12.2358820298969
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 012",13.6335522210621
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 013",11.0874339153
