"","PecFinLengths"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 002",27.7741846929196
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 003",25.741995779027
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 005",25.7021425664184
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 007",34.5836423710449
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 008",25.9141388569049
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 010",28.1528423863641
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 012",30.7298281416238
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 013",28.2138436086947
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 014",33.7617525493273
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 018",28.7256084242397
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 019",29.7387190146507
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 024",27.0224680174096
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 027",24.1397807119455
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 002",37.9916000296747
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 001",44.8081764930931
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 007",41.6315579000409
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 008",38.7825239103479
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 009",40.214774777735
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 010",38.9316779376965
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 011",42.2282322423052
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 012",42.9694049251794
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 013",35.309102798081
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4(2) 07-20 002",39.5734741968784
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN5 07-21 002",35.9113037961861
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN8 07-20 001",41.8336507360748
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN8 07-20 002",39.8373834617715
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN3 06-13 001",43.9592617498667
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN3 06-13 002",43.8652765358097
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 003",28.1955841307707
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 004",30.3970434364855
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 005",31.6154139414324
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 008",32.4984436050419
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 011",35.0837722136366
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 012",33.3809955518209
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 014",30.4463624759411
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 017",30.6214471203562
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 020",30.5981129403263
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 021",28.147852911246
