"fishID","imageFile","pecFinBaseWidth","pecFinLength","lakeID","DOC","stdLength","finLengthSS","finBaseSS","finRatioSS"
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_14","FD shock 07-31 014.jpg",4.519143645,24.2718830686867,"Found",6.21,104.05519217324,27.1364862110949,5.12335652195803,5.29662265251139
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_15","FD shock 07-31 015.jpg",4.014258304,30.8362537912763,"Found",6.21,102.080792607522,34.9861486952457,4.62684690340406,7.56155313232986
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_16","FD shock 07-31 016.jpg",6.207734652,29.4039281678486,"Found",6.21,68.2850387825913,45.4191017677639,10.1237029887494,4.48641192044442
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_19","FD shock 07-31 019.jpg",4.883556,32.0425166006043,"Found",6.21,74.3267347287637,46.3772802225729,7.40219850944714,6.26533862384039
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_22","FD shock 07-31 022.jpg",5.939643314,33.7415684616172,"Found",6.21,77.1012187431561,47.4821270053181,8.72260994878817,5.44356875798566
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_24","FD shock 07-31 024.jpg",4.28961,22.4041608782833,"Found",6.21,82.8828423114217,29.8260166990321,5.91830370760329,5.03962252912339
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_26","FD shock 07-31 026.jpg",3.386334709,21.8563493026626,"Found",6.21,83.3443516090923,28.9730111191558,4.64973006563049,6.23111679822367
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_27","FD shock 07-31 027.jpg",3.541763395,23.0648931246169,"Found",6.21,79.0215830462159,31.850575997653,5.09193727708027,6.25509983027839
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_29","FD shock 07-31 029.jpg",4.551194285,25.9303684485971,"Found",6.21,56.1119530411302,46.5668083310651,8.79295347554776,5.29592343011507
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_1","HB AN 07-10 001.jpg",10.43169769,45.6062088669953,"Hummingbird",24.5,180.237789118292,33.4496107898804,7.36063259126525,4.54439348454568
