"","fishID","X13","X14","Y13","Y14","fishStdLength","lakeID","captureMethod","basin","DOC","DOClevel","X","Y","hyp_dist","opp_dist","sinAngle","ang_deg"
"71","CR FN1 012.jpg",84.1302,81.4011,63.1895,66.8633,66.3941059255263,"CR","Fyke_Net",4,5,"low",-2.7291,3.67379999999999,4.57654818067066,2.7291,0.596322794442879,36.6069886706395
"72","CR FN1 013.jpg",93.2623,90.4282,59.8306,63.7668,75.4055271929717,"CR","Fyke_Net",4,5,"low",-2.83409999999999,3.93620000000001,4.85033949842689,2.83409999999999,0.58430961398046,35.7542323663072
"73","CR FN1 014.jpg",99.2978,97.0411,61.615,64.974,62.4236588614445,"CR","Fyke_Net",4,5,"low",-2.2567,3.359,4.04667467064008,2.2567,0.557667760241038,33.8946607807986
"74","CR FN1 015.jpg",89.5885,88.3289,61.615,65.1839,64.5879257673599,"CR","Fyke_Net",4,5,"low",-1.25959999999999,3.56889999999999,3.7846584218394,1.25959999999999,0.332817353537497,19.4398668765324
"75","CR FN7 001.jpg",85.2324,82.3458,58.4136,64.9215,111.920484901469,"CR","Fyke_Net",4,5,"low",-2.8866,6.50789999999999,7.11935544624651,2.8866,0.405458053301986,23.9198343000954
"76","CR FN7 002.jpg",81.821,77.7273,54.3724,59.5157,101.884494593535,"CR","Fyke_Net",4,5,"low",-4.0937,5.1433,6.57357700038571,4.0937,0.62275074890882,38.5172881669798
"77","CR FN7 003.jpg",91.1105,89.7984,63.7668,67.7556,62.4763151802345,"CR","Fyke_Net",4,5,"low",-1.3121,3.9888,4.19906321100314,1.3121,0.312474457769962,18.2084162514318
"78","CR FN7 004.jpg",80.7713,74.8932,59.8831,64.7115,117.199394681372,"CR","Fyke_Net",4,5,"low",-5.8781,4.8284,7.60693802853685,5.8781,0.772728787581647,50.5995679875054
"79","CR FN9 001.jpg",78.4096,73.8436,56.7341,62.2448,104.248723114099,"CR","Fyke_Net",4,5,"low",-4.566,5.5107,7.1565473861353,4.566,0.638017154591321,39.64412211564
"80","CR FN9 002.jpg",75.9954,71.9017,53.6901,60.6703,134.625515138142,"CR","Fyke_Net",4,5,"low",-4.0937,6.9802,8.09206844570657,4.0937,0.505890431781012,30.3904790634759
"81","CR FN9 003.jpg",72.2691,67.4931,54.11,60.093,119.5567,"CR","Fyke_Net",4,5,"low",-4.776,5.983,7.65548594146707,4.776,0.623866340623798,38.5990281603082
