"fishID","pecFinInsertionAngle","stdLength","lakeID","DOC","basin"
"MK Electro 003.jpg",69.7430804837937,63.3438882167017,"Muskellunge",NA,NA
"MK Electro 004.jpg",80.2997458306175,79.5060401683419,"Muskellunge",NA,NA
"MK Electro 005.jpg",80.6137145830615,85.7243792707769,"Muskellunge",NA,NA
"MK Electro 006.jpg",71.2115834645408,75.3962525894358,"Muskellunge",NA,NA
"MK Electro 007.jpg",59.9313053136119,63.5442221862067,"Muskellunge",NA,NA
"MK Electro 008.jpg",80.837288389647,63.8142981841844,"Muskellunge",NA,NA
"MK Electro 009.jpg",72.2353863818434,82.5318865312674,"Muskellunge",NA,NA
"MK Electro 010.jpg",71.4170868001664,89.3076208891492,"Muskellunge",NA,NA
"MK Electro 011.jpg",81.7530912997637,100.784322478647,"Muskellunge",NA,NA
"MK Electro 012.jpg",60.7808476988342,95.0432160979941,"Muskellunge",NA,NA
"MK Electro 013.jpg",61.2601184377203,63.7074443073963,"Muskellunge",NA,NA
"MK Electro 014.jpg",75.18657718521,84.7977650406542,"Muskellunge",NA,NA
"MK Electro 015.jpg",68.3293519204946,113.587547234237,"Muskellunge",NA,NA
"MK Electro2 001.jpg",66.3334773644093,115.633591188806,"Muskellunge",NA,NA
"MK Electro2 002.jpg",59.3936088154774,62.573331537405,"Muskellunge",NA,NA
"MK Electro2 003.jpg",77.6995833330402,86.8805541005581,"Muskellunge",NA,NA
"MK Electro2 004.jpg",85.2374338722872,62.0474594330823,"Muskellunge",NA,NA
"MK Electro2 005.jpg",77.3470106287146,96.1184849425437,"Muskellunge",NA,NA
"MK Electro2 006.jpg",84.9203260941803,120.094455109052,"Muskellunge",NA,NA
"MK Electro2 007.jpg",65.5922737970879,92.2310196284309,"Muskellunge",NA,NA
"MK Electro2 008.jpg",61.9817669119337,93.1264145194585,"Muskellunge",NA,NA
"MK Electro2 009.jpg",71.7034402036003,94.1025651359728,"Muskellunge",NA,NA
"MK Electro2 010.jpg",68.6633120276774,95.6984707203307,"Muskellunge",NA,NA
"MK Electro2 011.jpg",70.0618506171957,76.3345043322481,"Muskellunge",NA,NA
"MK Electro2 012.jpg",73.4342852444531,117.409686803815,"Muskellunge",NA,NA
"MK Electro2 013.jpg",71.7791181677666,118.90480804547,"Muskellunge",NA,NA
"MK Electro2 014.jpg",81.7138545962865,85.386956378126,"Muskellunge",NA,NA
"MK Electro2 015.jpg",59.9317304001546,83.0501801628991,"Muskellunge",NA,NA
"OB Electro 001.jpg",71.131456965246,116.667576216359,"Oxbow",11.12,NA
"OB Electro 002.jpg",73.4957762857396,103.723500285808,"Oxbow",11.12,NA
"OB Electro 003.jpg",49.8988011549134,111.697127502994,"Oxbow",11.12,NA
"OB Electro 004.jpg",53.1302255992457,130.126724352878,"Oxbow",11.12,NA
"OB Electro 005.jpg",73.8211913128109,128.043783999224,"Oxbow",11.12,NA
"OB Electro 006.jpg",57.1715572514818,111.670584818205,"Oxbow",11.12,NA
"OB Electro 007.jpg",67.6936128870831,89.9214773242188,"Oxbow",11.12,NA
"OB Electro 008.jpg",62.2411920576674,100.855119471249,"Oxbow",11.12,NA
"OB Electro 009.jpg",67.9721435243734,102.387683809773,"Oxbow",11.12,NA
"OB Electro 010.jpg",62.9986776072036,126.749798916764,"Oxbow",11.12,NA
"OB Electro 011.jpg",45.5027600560305,123.829421661292,"Oxbow",11.12,NA
"OB Electro 012.jpg",71.1053366378752,116.041656570259,"Oxbow",11.12,NA
"OB Electro 013.jpg",66.8009632575395,126.997915214896,"Oxbow",11.12,NA
"OB Electro 014.jpg",63.3056873799692,131.022846269267,"Oxbow",11.12,NA
"OB Electro 015.jpg",75.3115936773763,81.1309254442472,"Oxbow",11.12,NA
"OB FN 001.jpg",70.0172083367852,128.267198647706,"Oxbow",11.12,NA
"OB FN 002.jpg",80.1809214923001,121.448688610293,"Oxbow",11.12,NA
"OB FN 003.jpg",87.556048005338,114.037232227812,"Oxbow",11.12,NA
"OB FN 004.jpg",84.1737246477934,154.634203554873,"Oxbow",11.12,NA
"OB FN 005.jpg",53.2198287159546,97.8715720998698,"Oxbow",11.12,NA
"OB FN 006.jpg",67.4069147835016,116.72459489949,"Oxbow",11.12,NA
"OB FN 007.jpg",70.4268268927627,128.854715456828,"Oxbow",11.12,NA
"OB FN 008.jpg",71.4494013499293,124.471379106564,"Oxbow",11.12,NA
"OB FN 009.jpg",57.9176403838122,122.302080289748,"Oxbow",11.12,NA
"OB FN 010.jpg",67.3290808479622,115.057593171507,"Oxbow",11.12,NA
"OB FN 011.jpg",79.019465745564,102.871702217568,"Oxbow",11.12,NA
"OB FN 012.jpg",75.2414271082085,157.039204665905,"Oxbow",11.12,NA
"OB FN 013.jpg",78.7489497600607,166.239260849085,"Oxbow",11.12,NA
"OB FN 014.jpg",76.2005250383024,119.478712054533,"Oxbow",11.12,NA
"OB FN 015.jpg",66.5716602611524,95.795235691813,"Oxbow",11.12,NA
"PP FN 001.jpg",65.0953900485504,118.823229804151,"Papoose",6.485,7
"PP FN 002.jpg",65.5237686501794,101.364101793978,"Papoose",6.485,7
"PP FN 003.jpg",71.3182538825834,102.314400144359,"Papoose",6.485,7
"PP FN 004.jpg",64.9085429136136,103.676338738065,"Papoose",6.485,7
"PP FN 005.jpg",65.0945220130494,94.6844593339372,"Papoose",6.485,7
"PP FN 006.jpg",74.4754758790649,83.9287195495082,"Papoose",6.485,7
"PP FN 007.jpg",46.3638764762661,127.027680414349,"Papoose",6.485,7
"PP FN 008.jpg",82.3549245285414,106.984884138134,"Papoose",6.485,7
"PP FN 009.jpg",68.9628605730635,88.2732089124441,"Papoose",6.485,7
"PP FN 010.jpg",70.4194007547993,106.081434728797,"Papoose",6.485,7
"PP FN 011.jpg",71.2588605517256,83.1166075463262,"Papoose",6.485,7
"PP FN 012.jpg",63.5954874482511,113.591210838911,"Papoose",6.485,7
"PP FN 013.jpg",74.8940236214645,122.847473986403,"Papoose",6.485,7
"PP FN 014.jpg",78.8662717693159,127.62020606585,"Papoose",6.485,7
"PP FN 015.jpg",72.8668810314436,98.3808580521638,"Papoose",6.485,7
"PP FN 016.jpg",76.9669252542803,86.6251651302899,"Papoose",6.485,7
"PP FN 017.jpg",84.0936553358088,101.156489089035,"Papoose",6.485,7
"PP FN 018.jpg",82.6476427763462,109.20715087255,"Papoose",6.485,7
"PP FN 019.jpg",74.227555905853,108.321635868233,"Papoose",6.485,7
"PP FN 020.jpg",75.7065325179825,111.964722243839,"Papoose",6.485,7
"PP FN 021.jpg",64.8551774626859,82.9003152440327,"Papoose",6.485,7
"PP FN 022.jpg",59.3654502537185,83.4011235135954,"Papoose",6.485,7
"PP FN 023.jpg",77.8634025911514,77.9968414993838,"Papoose",6.485,7
"PP FN 024.jpg",79.3802540434393,100.721058296118,"Papoose",6.485,7
"PP FN 025.jpg",65.4628353888867,100.211661000604,"Papoose",6.485,7
"PP FN 026.jpg",66.5845225126075,104.149125676791,"Papoose",6.485,7
"PP FN 027.jpg",78.6899189878029,98.1149957054476,"Papoose",6.485,7
"PP FN 028.jpg",63.2393441646931,93.0807443990968,"Papoose",6.485,7
"PP FN 029.jpg",57.0674050004269,77.3866172478162,"Papoose",6.485,7
"PP FN 030.jpg",71.4082980187438,83.4658098884208,"Papoose",6.485,7
"RB FN4 001.jpg",66.333320627687,148.756875155033,"Red_Bass",NA,NA
"RB FN4 002.jpg",72.1704082196966,142.792595655552,"Red_Bass",NA,NA
"RB FN4(2) 001.jpg",67.9246300426303,151.591524660846,"Red_Bass",NA,NA
