fishID,lakeID,fishStdLength,DOC,DOClevel,captureMethod, X13, Y13, X14, Y14,basin,X,Y,hyp_dist,opp_dist,sinAngle,ang_deg,fitted
CR FN1 006.jpg,CR,77.1093696,5,low,Fyke_Net,97.9858,52.7454,96.3063,57.2065,4,-1.6795,4.4611,4.766773905,1.6795,0.360064642,20.63018433,3.267229
CR FN1 007.jpg,CR,61.56902396,5,low,Fyke_Net,87.4892,62.2448,86.492,65.6562,4,-0.9972,3.4114,3.554160632,0.9972,0.284390593,16.29438073,3.267229
CR FN1 008.jpg,CR,102.7295571,5,low,Fyke_Net,83.2905,58.3611,80.6139,64.6591,4,-2.6766,6.298,6.843171163,2.6766,0.401863923,23.02510673,3.267229
CR FN1 009.jpg,CR,107.226481,5,low,Fyke_Net,85.7572,56.2093,83.0806,61.825,4,-2.6766,5.6157,6.220954432,2.6766,0.44477582,25.48377734,3.267229
CR FN1 010.jpg,CR,56.3887278,5,low,Fyke_Net,96.8836,63.1895,95.2566,66.3385,4,-1.627,3.149,3.544478805,1.627,0.476896045,27.32413066,3.267229
CR FN1 011.jpg,CR,79.47752842,5,low,Fyke_Net,88.2239,63.242,86.1771,67.5456,4,-2.0468,4.3036,4.76553913,2.0468,0.443939254,25.43584564,3.267229
CR FN1 012.jpg,CR,66.39450069,5,low,Fyke_Net,84.1302,63.1895,81.4011,66.8633,4,-2.7291,3.6738,4.576548181,2.7291,0.638912482,36.60698867,3.267229
CR FN1 013.jpg,CR,75.40523221,5,low,Fyke_Net,93.2623,59.8306,90.4282,63.7668,4,-2.8341,3.9362,4.850339498,2.8341,0.624029076,35.75423237,3.267229
CR FN1 014.jpg,CR,62.42380176,5,low,Fyke_Net,99.2978,61.615,97.0411,64.974,4,-2.2567,3.359,4.046674671,2.2567,0.591573429,33.89466078,3.267229
CR FN1 015.jpg,CR,64.58821626,5,low,Fyke_Net,89.5885,61.615,88.3289,65.1839,4,-1.2596,3.5689,3.784658422,1.2596,0.339289683,19.43986688,3.267229
CR FN7 001.jpg,CR,111.920056,5,low,Fyke_Net,85.2324,58.4136,82.3458,64.9215,4,-2.8866,6.5079,7.119355446,2.8866,0.417479865,23.9198343,3.267229
CR FN7 002.jpg,CR,101.8847655,5,low,Fyke_Net,81.821,54.3724,77.7273,59.5157,4,-4.0937,5.1433,6.573577,4.0937,0.672253497,38.51728817,3.267229
CR FN7 003.jpg,CR,62.47613442,5,low,Fyke_Net,91.1105,63.7668,89.7984,67.7556,4,-1.3121,3.9888,4.199063211,1.3121,0.317796815,18.20841625,3.267229
CR FN7 004.jpg,CR,117.1996509,5,low,Fyke_Net,80.7713,59.8831,74.8932,64.7115,4,-5.8781,4.8284,7.606938029,5.8781,0.883129061,50.59956799,3.267229
CR FN9 001.jpg,CR,104.248361,5,low,Fyke_Net,78.4096,56.7341,73.8436,62.2448,4,-4.566,5.5107,7.156547386,4.566,0.69192046,39.64412212,3.267229
CR FN9 002.jpg,CR,134.6258107,5,low,Fyke_Net,75.9954,53.6901,71.9017,60.6703,4,-4.0937,6.9802,8.092068446,4.0937,0.530413921,30.39047906,3.267229
CR FN9 003.jpg,CR,119.556274,5,low,Fyke_Net,72.2691,54.11,67.4931,60.093,4,-4.776,5.983,7.655485941,4.776,0.673680129,38.59902816,3.267229
CR FN9 004.jpg,CR,80.61293127,5,low,Fyke_Net,86.4395,60.2505,83.8154,64.4491,4,-2.6241,4.1986,4.951175898,2.6241,0.558595034,32.00513788,3.267229
CR FN9 005.jpg,CR,61.73950753,5,low,Fyke_Net,98.1432,63.137,97.5659,66.7059,4,-0.5773,3.5689,3.615290099,0.5773,0.160369421,9.188490971,3.267229
CR FN9 006.jpg,CR,68.91121826,5,low,Fyke_Net,92.9474,62.5073,91.3729,65.9711,4,-1.5745,3.4638,3.804860141,1.5745,0.426638369,24.44457791,3.267229
CR FN9 007.jpg,CR,64.67081249,5,low,Fyke_Net,92.2126,64.7115,90.953,68.0705,4,-1.2596,3.359,3.587404795,1.2596,0.358764145,20.55567136,3.267229
CR FN9 008.jpg,CR,65.12074482,5,low,Fyke_Net,90.0083,63.6094,89.1161,67.1782,4,-0.8922,3.5688,3.678634839,0.8922,0.244978663,14.03624347,3.267229
CR FN9 009.jpg,CR,69.54068797,5,low,Fyke_Net,91.8977,61.72,89.7459,65.9711,4,-2.1518,4.2511,4.764671494,2.1518,0.468575296,26.84738683,3.267229
CR FN9 010.jpg,CR,119.9971317,5,low,Fyke_Net,80.3515,57.6263,75.2606,63.137,4,-5.0909,5.5107,7.502338122,5.0909,0.745821044,42.73239807,3.267229
CR FN9 011.jpg,CR,88.3044528,5,low,Fyke_Net,80.299,58.3611,78.4096,63.7668,4,-1.8894,5.4057,5.726379733,1.8894,0.336247095,19.26553941,3.267229
FD Electro 001.jpg,FD,72.20106358,6.21,low,Electrofishing,84.6551,56.5242,82.5033,60.6703,7,-2.1518,4.1461,4.671229865,2.1518,0.478726895,27.42903062,2.759796
FD Electro 002.jpg,FD,102.9210899,6.21,low,Electrofishing,87.0168,58.9384,82.9231,65.4463,7,-4.0937,6.5079,7.688377078,4.0937,0.561495972,32.17134939,2.759796
FD Electro 003.jpg,FD,115.4605245,6.21,low,Electrofishing,82.0834,55.3696,79.4068,62.8222,7,-2.6766,7.4526,7.918676298,2.6766,0.344802745,19.75574204,2.759796
FD Electro 004.jpg,FD,106.0068908,6.21,low,Electrofishing,79.0919,60.1455,76.9926,67.0208,7,-2.0993,6.8753,7.188658469,2.0993,0.296348103,16.97949554,2.759796
FD Electro 005.jpg,FD,117.1143298,6.21,low,Electrofishing,80.3515,59.3058,77.7273,65.8662,7,-2.6242,6.5604,7.065781896,2.6242,0.380511633,21.80171064,2.759796
FD Electro 006.jpg,FD,73.85329736,6.21,low,Electrofishing,79.9073,57.4497,78.7583,62.359,7,-1.149,4.9093,5.041966629,1.149,0.229907304,13.17271822,2.759796
FD Electro 007.jpg,FD,110.850855,6.21,low,Electrofishing,82.0309,51.4333,80.2465,59.0434,7,-1.7844,7.6101,7.816502119,1.7844,0.230317094,13.19619742,2.759796
FD Electro 008.jpg,FD,117.905568,6.21,low,Electrofishing,84.7076,57.6788,83.343,65.6562,7,-1.3646,7.9774,8.093271521,1.3646,0.169418492,9.706964587,2.759796
FD Electro 009.jpg,FD,96.15505808,6.21,low,Electrofishing,77.2025,61.9824,75.2606,68.6478,7,-1.9419,6.6654,6.942516314,1.9419,0.283493354,16.24297269,2.759796
FD Electro 010.jpg,FD,99.73682684,6.21,low,Electrofishing,76.5727,59.2533,75.9429,66.0761,7,-0.6298,6.8228,6.851806176,0.6298,0.092047296,5.273921578,2.759796
FD Electro 011.jpg,FD,105.0266791,6.21,low,Electrofishing,75.1032,56.5767,73.1613,64.2392,7,-1.9419,7.6625,7.904737937,1.9419,0.24820338,14.22100611,2.759796
FD Electro 012.jpg,FD,69.87902047,6.21,low,Electrofishing,85.7047,61.9824,84.6026,66.7584,7,-1.1021,4.776,4.901510013,1.1021,0.226788144,12.99400348,2.759796
FD Electro 013.jpg,FD,69.00706254,6.21,low,Electrofishing,91.9502,56.7341,90.4282,61.1427,7,-1.522,4.4086,4.663929455,1.522,0.332422927,19.04643076,2.759796
FD Electro 014.jpg,FD,104.0556844,6.21,low,Electrofishing,78.3571,52.2731,76.5202,59.5157,7,-1.8369,7.2426,7.471911159,1.8369,0.248386933,14.23152295,2.759796
FD Electro 015.jpg,FD,102.0805278,6.21,low,Electrofishing,81.6111,63.7668,78.8295,70.0123,7,-2.7816,6.2455,6.836926854,2.7816,0.419002518,24.00707586,2.759796
FD Electro 016.jpg,FD,68.28492116,6.21,low,Electrofishing,82.8182,60.7753,81.1387,64.974,7,-1.6795,4.1987,4.522145723,1.6795,0.380510483,21.80164476,2.759796
FD Electro 017.jpg,FD,114.9075464,6.21,low,Electrofishing,80.3515,52.1681,79.7217,59.7257,7,-0.6298,7.5576,7.583796266,0.6298,0.083141232,4.763641691,2.759796
FD Electro 018.jpg,FD,109.7251351,6.21,low,Electrofishing,83.343,55.0547,81.7685,62.1399,7,-1.5745,7.0852,7.258037565,1.5745,0.21867044,12.52889333,2.759796
FD Electro 019.jpg,FD,74.32669439,6.21,low,Electrofishing,86.9118,62.5073,86.2296,67.5981,7,-0.6822,5.0908,5.13630621,0.6822,0.133212826,7.632532717,2.759796
FD Electro 020.jpg,FD,77.75203676,6.21,low,Electrofishing,85.3898,58.3611,83.1331,63.3995,7,-2.2567,5.0384,5.52070371,2.2567,0.421106298,24.12761363,2.759796
FD Electro 021.jpg,FD,77.40347569,6.21,low,Electrofishing,95.7815,57.154,94.3644,61.9824,7,-1.4171,4.8284,5.032059118,1.4171,0.285476125,16.35657713,2.759796
FD Electro 022.jpg,FD,77.10154619,6.21,low,Electrofishing,91.5304,51.3809,90.6381,56.2618,7,-0.8923,4.8809,4.961792428,0.8923,0.180817907,10.36010291,2.759796
FD Electro 023.jpg,FD,77.78823399,6.21,low,Electrofishing,83.2905,59.9881,82.2933,64.4491,7,-0.9972,4.461,4.571097116,0.9972,0.21992181,12.60059156,2.759796
FD Electro 024.jpg,FD,82.88302066,6.21,low,Electrofishing,80.0366,59.7781,79.6692,65.4463,7,-0.3674,5.6682,5.680094541,0.3674,0.064727209,3.708595924,2.759796
FD Electro 025.jpg,FD,71.61445258,6.21,low,Electrofishing,87.1743,61.5101,85.4423,65.4988,7,-1.732,3.9887,4.348511434,1.732,0.409659709,23.47177233,2.759796
FD Electro 026.jpg,FD,83.3444086,6.21,low,Electrofishing,89.1161,62.0874,86.1771,66.2335,7,-2.939,4.1461,5.082112377,2.939,0.616646842,35.33126148,2.759796
FD Electro 027.jpg,FD,79.02184944,6.21,low,Electrofishing,83.9203,59.2008,82.9231,64.7115,7,-0.9972,5.5107,5.600198419,0.9972,0.179019795,10.25707872,2.759796
FD Electro 028.jpg,FD,78.83079379,6.21,low,Electrofishing,86.7019,59.2008,84.1827,64.5541,7,-2.5192,5.3533,5.916433852,2.5192,0.439842583,25.20112365,2.759796
FD Electro 029.jpg,FD,56.11227989,6.21,low,Electrofishing,93.3148,61.1952,92.5275,64.764,7,-0.7873,3.5688,3.654610065,0.7873,0.217128604,12.44055264,2.759796
FD Electro 030.jpg,FD,67.21800051,6.21,low,Electrofishing,88.8537,60.8278,86.2296,64.9215,7,-2.6241,4.0937,4.862538483,2.6241,0.570028921,32.66025139,2.759796
HB AN 001 07-24.jpg,HB,161.727793,24.5,high,Angling,63.137,46.8673,55.5795,55.6845,4,-7.5575,8.8172,11.61287312,7.5575,0.708619734,40.60092004,2.922681
HB AN 001.jpg,HB,180.237427,24.5,high,Angling,61.4576,42.9311,56.6816,55.1072,4,-4.776,12.1761,13.07928084,4.776,0.373802186,21.41728764,2.922681
HB AN 002 07-24.jpg,HB,153.411391,24.5,high,Angling,60.4079,50.2262,58.781,61.0377,4,-1.6269,10.8115,10.93322166,1.6269,0.149358039,8.557585265,2.922681
HB AN 002.jpg,HB,178.387895,24.5,high,Angling,66.6009,40.6743,61.825,53.1128,4,-4.7759,12.4385,13.32386967,4.7759,0.366603729,21.00484645,2.922681
HB AN 003 07-24.jpg,HB,137.5545789,24.5,high,Angling,66.496,51.8532,63.8193,61.3001,4,-2.6767,9.4469,9.818790277,2.6767,0.276104695,15.81963374,2.922681
HB AN 003.jpg,HB,170.9376466,24.5,high,Angling,65.9186,37.3154,61.5101,49.1766,4,-4.4085,11.8612,12.65396925,4.4085,0.355851567,20.38879294,2.922681
HB AN 004 07-24.jpg,HB,158.0783168,24.5,high,Angling,67.808,49.439,65.7087,60.5129,4,-2.0993,11.0739,11.27112779,2.0993,0.187348707,10.73429021,2.922681
HB AN 004.jpg,HB,174.5819128,24.5,high,Angling,66.0236,44.663,58.1512,56.2093,4,-7.8724,11.5463,13.97468159,7.8724,0.598414325,34.28661522,2.922681
