1,123,10,0,,,,,,,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
OB FN 012.jpg,24.252,70.9535,51.0276,71.7729,63.6452,63.2519,35.231,57.7133,25.1697,62.4326
OB shock 002.jpg,31.2654,64.8578,49.6183,66.1031,60.5317,64.9561,44.9318,60.2368,32.6419,60.1385
OB shock 006.jpg,29.1024,63.1208,44.9973,67.9384,58.1065,70.1998,41.8183,56.1401,27.7915,56.7956
OB shock 014.jpg,30.4789,67.9057,54.567,68.9544,64.53,68.6267,40.7696,58.467,30.0528,60.6956
PS 139.jpg,35.8537,70.0687,55.6158,65.3821,64.6611,63.6124,40.0158,59.188,32.4453,66.3326
PS 140.jpg,33.4285,68.2662,53.3544,65.8082,61.1872,64.3662,42.9982,58.6637,31.9209,62.662
PS 141.jpg,30.1839,66.988,50.9948,67.3485,63.6452,66.5947,42.5721,56.1401,28.6764,60.6956
PS FN 008.jpg,32.2814,66.6603,49.6511,67.8729,58.3687,68.2006,43.9158,59.9418,31.757,60.5973
PS FN 018.jpg,33.5268,71.314,53.6494,64.0384,59.8763,60.8922,39.3604,60.3023,30.1512,67.3157
PS FN 019.jpg,32.8385,68.0695,51.2242,68.2334,61.3183,64.7594,43.5881,59.9746,31.9864,63.0225
PS FN 027.jpg,30.3806,65.3821,47.2587,67.7418,54.567,66.4309,40.2452,56.2712,30.6428,59.8435
RB 159.jpg,26.4478,68.6594,51.683,65.3166,64.7922,61.7771,34.4772,58.4015,23.826,61.941
RB 166.jpg,29.168,70.7569,55.3208,65.0544,68.8888,60.8922,40.573,58.0082,26.6444,64.0057
RS FN4 009.jpg,27.0377,64.7267,50.6998,70.0687,66.8897,68.725,47.7503,58.1393,26.9066,57.4511
RS FN4 011.jpg,28.1848,67.8729,55.583,68.2334,69.9704,64.8578,46.2099,56.8612,27.3327,60.5317
RS FN4 013.jpg,29.1352,71.1502,51.7813,68.8888,63.4485,63.7763,38.2133,60.7939,28.5125,65.2183
RS FN8 002.jpg,32.9041,78.0325,54.141,62.9897,65.3166,55.157,38.3772,59.2864,28.2831,72.3956
SQ FN3 001.jpg,19.5983,68.1023,50.3721,72.2317,62.7603,66.562,31.8554,53.2234,18.189,58.4998
SQ FN3 002.jpg,23.8915,67.283,53.3217,66.1031,67.3813,62.7603,37.3284,53.8788,21.4663,58.3687
