PecFinLengths	fishStdLength	Ratio	rangeDOC	lakeDOC	lakeID
28.21384361	87.03511293	0.324166221	5.0-10.0	6.485	Papoose
33.76175255	101.6353181	0.33218524	5.0-10.0	6.485	Papoose
28.72560842	83.29256652	0.344876015	5.0-10.0	6.485	Papoose
29.73871901	84.00723454	0.354001881	5.0-10.0	6.485	Papoose
27.02246802	98.58022208	0.274116526	5.0-10.0	6.485	Papoose
24.13978071	83.86143578	0.287853177	5.0-10.0	6.485	Papoose
37.99160003	142.0358928	0.26747887	15.0-25.0	18.9	Red Bass
44.80817649	150.4821646	0.297764035	15.0-25.0	18.9	Red Bass
41.6315579	137.2252777	0.303381116	15.0-25.0	18.9	Red Bass
38.78252391	149.8595197	0.258792528	15.0-25.0	18.9	Red Bass
40.21477478	149.5023944	0.268990841	15.0-25.0	18.9	Red Bass
38.93167794	141.565425	0.275008378	15.0-25.0	18.9	Red Bass
42.22823224	137.8143602	0.306413876	15.0-25.0	18.9	Red Bass
42.96940493	148.4450803	0.289463314	15.0-25.0	18.9	Red Bass
35.3091028	125.4722377	0.281409684	15.0-25.0	18.9	Red Bass
39.5734742	141.7505946	0.279176777	15.0-25.0	18.9	Red Bass
35.9113038	123.4423805	0.290915516	15.0-25.0	18.9	Red Bass
41.83365074	132.955234	0.314644632	15.0-25.0	18.9	Red Bass
39.83738346	137.2301826	0.290296076	15.0-25.0	18.9	Red Bass
43.95926175	171.7769312	0.255908995	15.0-25.0	23.85	Squaw
43.86527654	174.9701204	0.250701528	15.0-25.0	23.85	Squaw
28.19558413	110.1146997	0.256056496	15.0-25.0	23.85	Squaw
30.39704344	112.592525	0.269973903	15.0-25.0	23.85	Squaw
31.61541394	107.3679687	0.294458527	15.0-25.0	23.85	Squaw
32.49844361	118.7518774	0.273666777	15.0-25.0	23.85	Squaw
35.08377221	123.8962681	0.283170533	15.0-25.0	23.85	Squaw
33.38099555	112.4785016	0.296776674	15.0-25.0	23.85	Squaw
30.44636248	117.8974262	0.258244505	15.0-25.0	23.85	Squaw
30.62144712	107.633203	0.28449815	15.0-25.0	23.85	Squaw
30.59811294	107.8409696	0.283733659	15.0-25.0	23.85	Squaw
28.14785291	90.8016572	0.309992722	15.0-25.0	23.85	Squaw
25.92552263	99.09103125	0.261633392	15.0-25.0	23.85	Squaw
26.61129801	99.50888907	0.26742634	15.0-25.0	23.85	Squaw
43.18247164	155.4223994	0.277839435	5.0-10.0	5.293	Towanda
44.25974093	155.7337268	0.284201386	5.0-10.0	5.293	Towanda
34.31797459	115.418791	0.297334379	5.0-10.0	5.293	Towanda
44.35671969	166.5019965	0.26640353	5.0-10.0	5.293	Towanda
45.01879279	151.5659212	0.297024505	5.0-10.0	5.293	Towanda
36.87316939	136.9487072	0.269248028	5.0-10.0	5.293	Towanda
28.28866892	106.3872412	0.265902834	5.0-10.0	5.293	Towanda
21.29434238	81.59430853	0.260978281	5.0-10.0	5.293	Towanda
47.05969163	163.1251897	0.288488196	5.0-10.0	5.293	Towanda
34.51997206	135.5683459	0.254631506	5.0-10.0	5.293	Towanda
27.92045401	108.4659821	0.257412079	5.0-10.0	5.293	Towanda
24.72340824	91.69712084	0.269620333	5.0-10.0	5.293	Towanda
33.43599215	111.7221228	0.299278167	5.0-10.0	5.293	Towanda
22.63384953	81.57216279	0.277470264	5.0-10.0	5.293	Towanda
28.75220439	102.974333	0.279217195	5.0-10.0	5.293	Towanda
22.08744351	85.86280282	0.257241119	5.0-10.0	5.293	Towanda
