imageID,fishID,lakeID,basin,DOC,DOCbin,PecFinLengths,baseWidth,fishStdLength,finLengthSS,finBaseSS,lakeSlope,bylake_finlengthSS,bylake_finwidthSS,ss_ratio,fitted_PL,fitted_PW,fitted_PR
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 024,FD shock 07-31 024.jpg,Found,7,6.21,low,22.40408825,4.28961,84.07218505,28.38933722,5.524502818,0.02092,22.57452029,9.294351413,5.138804008,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 026,FD shock 07-31 026.jpg,Found,7,6.21,low,21.85637192,3.386334709,84.54019275,27.59499313,4.344326576,0.02092,22.02007997,11.09478481,6.351961034,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 027,FD shock 07-31 027.jpg,Found,7,6.21,low,23.06480859,3.541763395,80.15561567,30.15222371,4.715810718,0.02092,23.26347235,10.91075711,6.393857921,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 029,FD shock 07-31 029.jpg,Found,7,6.21,low,25.15306574,4.551194285,56.917351,41.12856711,7.69568547,0.02092,25.55207594,13.9643517,5.344366953,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 001,HB AN 07-10 001.jpg,Hummingbird,4,24.5,high,45.60616346,10.43169769,166.9119846,36.91362864,8.324179247,-0.00158,45.62948261,19.73923115,4.4345067,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 002,HB AN 07-10 002.jpg,Hummingbird,4,24.5,high,46.4736711,10.18667146,158.4864242,38.91107109,8.42792296,-0.00158,46.49362861,19.09872367,4.616922968,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 003,HB AN 07-10 003.jpg,Hummingbird,4,24.5,high,46.45252219,10.24358902,169.4491761,37.22975317,8.088450312,-0.00158,46.47738194,16.92158279,4.602828939,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 004,HB AN 07-10 004.jpg,Hummingbird,4,24.5,high,46.20764205,9.709083393,147.9597391,40.46587812,8.42753857,-0.00158,46.22246568,21.46186111,4.801624791,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 007,HB AN 07-10 007.jpg,Hummingbird,4,24.5,high,37.45416781,8.950402036,169.0233946,30.06735041,7.079757521,-0.00158,37.47406299,18.27183356,4.246946357,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 008,HB AN 07-10 008.jpg,Hummingbird,4,24.5,high,43.71963039,8.251625442,130.3625402,41.59044219,7.824301226,-0.00158,43.72490733,18.10045991,5.315547163,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 009,HB AN 07-10 009.jpg,Hummingbird,4,24.5,high,43.7482235,9.00872489,162.2328122,36.07404152,7.332789779,-0.00158,43.76862626,19.29813439,4.919552122,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 010,HB AN 07-10 010.jpg,Hummingbird,4,24.5,high,41.33490346,8.183322526,145.7081088,36.56326342,7.179608298,-0.00158,41.34716208,19.5303135,5.092654349,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 011,HB AN 07-10 011.jpg,Hummingbird,4,24.5,high,40.16244599,8.815202742,132.1324384,37.87122208,8.280383083,-0.00158,40.16814943,22.13999948,4.573607489,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 001,HB AN 07-24 001.jpg,Hummingbird,4,24.5,high,43.40290972,8.757891157,164.048183,35.52994685,7.073465006,-0.00158,43.4239149,20.14343064,5.022990404,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 002,HB AN 07-24 002.jpg,Hummingbird,4,24.5,high,37.02594237,7.585866053,182.823384,28.23730572,5.680541451,-0.00158,37.05020417,18.34341204,4.970882787,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 003,HB AN 07-24 003.jpg,Hummingbird,4,24.5,high,37.92588538,7.094431737,155.6124614,32.13634929,5.945020583,-0.00158,37.94107509,17.58936572,5.405590921,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 004,HB AN 07-24 004.jpg,Hummingbird,4,24.5,high,42.93640086,6.498985116,181.2004314,32.93622681,4.897034028,-0.00158,42.96393027,22.36811357,6.72575004,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 005,HB AN 07-24 005.jpg,Hummingbird,4,24.5,high,41.18634995,8.505612823,139.5281437,37.47859548,7.69155911,-0.00158,41.19574351,20.97265572,4.872691602,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 006,HB AN 07-24 006.jpg,Hummingbird,4,24.5,high,38.09324656,8.045653848,173.390175,30.07479279,6.251798521,-0.00158,38.11501728,15.9709415,4.810582537,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 007,HB AN 07-24 007.jpg,Hummingbird,4,24.5,high,40.62129052,8.101485907,160.3463459,33.75267019,6.648385169,-0.00158,40.63948395,17.87145012,5.076822316,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 008,HB AN 07-24 008.jpg,Hummingbird,4,24.5,high,39.17356812,8.872757703,177.0867273,30.50421283,6.793717844,-0.00158,39.19726269,15.48157408,4.490061779,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 009,HB AN 07-24 009.jpg,Hummingbird,4,24.5,high,39.5977886,9.8930487,153.1423089,33.9057786,8.383327338,-0.00158,39.61264644,16.52975864,4.044429763,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 010,HB AN 07-24 010.jpg,Hummingbird,4,24.5,high,41.96702142,8.202459542,172.046365,33.30207565,6.408350501,-0.00158,41.99048985,18.57479392,5.196668885,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 011,HB AN 07-24 011.jpg,Hummingbird,4,24.5,high,40.12522033,6.46816954,151.5603489,34.59136385,5.520969764,-0.00158,40.13961753,17.43244914,6.265450696,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 012,HB AN 07-24 012.jpg,Hummingbird,4,24.5,high,34.03960028,6.981809647,171.7168091,27.0453032,5.461996065,-0.00158,34.05853243,17.9799135,4.951542051,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 013,HB AN 07-24 013.jpg,Hummingbird,4,24.5,high,38.41239147,5.708862455,156.7905674,32.38853129,4.758816814,-0.00158,38.42823397,16.46259956,6.806005055,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 014,HB AN 07-24 014.jpg,Hummingbird,4,24.5,high,34.05675663,7.787571631,161.3562171,28.18224449,6.362830489,-0.00158,34.07234793,14.99091335,4.429199323,34.71678,1.898827,1.618025
