1,218,10,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
MC FN8 06-29 006.jpg,30.68720,62.95830 ,42.26920,68.63380 ,67.84180,74.63920 ,39.43140,56.32590 ,32.30410,56.02890 
MC FN8 06-29 007.jpg,25.44070,67.04990 ,37.25360,70.48160 ,66.15900,73.55030 ,39.20040,57.74480 ,25.37470,59.59260 
MC FN8 06-29 008.jpg,32.99700,62.49630 ,42.86310,68.40280 ,62.43030,75.79410 ,40.88330,56.06190 ,33.26100,55.20400 
MC FN8 06-29 015.jpg,35.24080,64.60810 ,50.08940,65.49900 ,56.12790,65.26810 ,43.75400,58.80070 ,35.47180,60.21950 
MK shock 07-26 001.jpg,28.17940,71.47150 ,41.27920,69.52470 ,64.04720,64.11320 ,36.59370,58.60270 ,26.99150,65.79600 
MK shock 07-26 005.jpg,32.73300,62.62830 ,45.96480,65.96100 ,57.38180,69.09570 ,44.67790,60.18650 ,34.51490,57.74480 
MK shock 07-26 015.jpg,31.47910,62.56230 ,43.75400,67.41290 ,62.13340,72.75840 ,41.11430,57.51380 ,33.45900,56.32590 
MK shock 07-31  011.jpg,30.98420,60.12050 ,36.75870,63.81620 ,51.70630,70.51460 ,38.73850,58.10770 ,32.20510,56.25990 
MK shock 07-31 001.jpg,32.20510,69.82170 ,43.25910,70.41560 ,64.21220,64.83910 ,33.78890,61.77040 ,28.50940,64.41010 
MK shock 07-31 003.jpg,34.97680,63.18930 ,51.27730,70.38260 ,60.97850,71.40550 ,44.77690,56.39190 ,36.46170,58.53670 
MK shock 07-31 005.jpg,35.96670,71.10850 ,44.90890,67.70980 ,62.16630,57.81070 ,39.95940,61.90240 ,34.48190,65.99400 
MK shock 07-31 006.jpg,27.58550,59.88960 ,37.64960,66.42300 ,61.34140,69.32670 ,37.02260,55.27000 ,28.80640,54.70900 
MK shock 07-31 007.jpg,35.90070,71.90050 ,41.70820,69.45870 ,57.61280,56.62290 ,38.54050,62.23230 ,33.26100,68.00680 
MK shock 07-31 009.jpg,31.51210,71.80150 ,41.64220,68.66680 ,58.23970,60.02150 ,32.53500,63.22230 ,29.30130,67.14890 
MK shock 07-31 013.jpg,30.12630,71.90050 ,54.47800,68.13880 ,63.88220,62.99130 ,32.30410,64.47610 ,28.21240,67.08290 
MK shock 07-31 014.jpg,29.03740,68.30380 ,44.67790,66.25800 ,52.79520,61.90240 ,38.07850,62.39730 ,28.77340,65.63100 
OB FN 06-07 001.jpg,32.66700,70.44860 ,43.85300,69.32670 ,67.41290,65.26810 ,35.73580,61.30840 ,31.21520,65.13610 
OB FN 06-07 002.jpg,53.02620,33.82190 ,59.88960,44.05100 ,72.65940,60.71450 ,68.20480,35.04280 ,57.44780,29.92830 
OB FN 06-07 004.jpg,24.74780,65.36710 ,38.30950,70.18460 ,63.15630,80.14970 ,40.09140,57.08480 ,26.59560,57.41480 
OB FN 06-07 005.jpg,34.41590,71.10850 ,43.32510,67.67680 ,56.62290,57.28280 ,37.74860,63.15630 ,32.37010,66.52200 
OB FN 06-07 006.jpg,27.22250,61.11040 ,36.82470,65.53200 ,57.87670,72.75840 ,39.46440,55.33600 ,29.23530,55.53400 
OB FN 06-07 007.jpg,26.39760,66.42300 ,37.41860,69.29370 ,62.82630,68.66680 ,39.10140,55.79790 ,28.54240,60.15350 
OB FN 06-07 008.jpg,30.58820,70.77860 ,51.54130,69.39270 ,63.51920,63.61820 ,39.16740,59.19660 ,32.07310,62.19930 
OB FN 06-07 011.jpg,31.11620,60.15350 ,39.16740,64.31120 ,57.05180,68.20480 ,40.78430,56.88680 ,32.63400,55.30300 
OB FN 06-07 012.jpg,24.74780,71.30650 ,38.63950,71.99950 ,65.13610,62.72730 ,34.91080,58.10770 ,25.17670,63.09030 
OB FN 06-07 014.jpg,32.04010,75.13420 ,52.79520,65.40010 ,62.66130,58.83370 ,36.69270,60.64850 ,30.09330,70.34960 
OB FN 06-07 015.jpg,31.24820,61.77040 ,39.39840,65.92800 ,56.52390,72.49440 ,41.21330,57.97570 ,33.68990,57.08480 
OB shock 07-11 001.jpg,32.23810,68.56780 ,49.62750,68.43580 ,62.82630,67.47890 ,40.68530,59.29560 ,30.58820,61.73740 
OB shock 07-11 002.jpg,31.31420,65.03710 ,50.32040,66.48900 ,60.78050,65.40010 ,40.38830,59.79060 ,32.83200,60.68150 
OB shock 07-11 003.jpg,38.30950,69.85460 ,47.41670,66.98390 ,65.30110,56.19390 ,38.50750,62.39730 ,34.08590,65.89500 
OB shock 07-11 005.jpg,30.06030,66.52200 ,43.25910,68.27080 ,58.83370,69.45870 ,36.23070,58.63570 ,30.42320,59.55960 
OB shock 07-11 006.jpg,29.33430,63.48620 ,38.63950,66.95090 ,58.53670,70.61360 ,38.73850,55.96290 ,28.14640,57.24980 
OB shock 07-11 008.jpg,29.33430,65.13610 ,40.02540,66.91790 ,57.31580,67.84180 ,35.00980,58.17370 ,29.66430,59.59260 
OB shock 07-11 010.jpg,33.72290,66.06000 ,46.65780,69.06270 ,67.21490,72.79140 ,39.00250,57.34880 ,32.96400,58.73470 
OB shock 07-11 012.jpg,32.56800,65.23510 ,42.83010,67.47890 ,64.70710,68.53480 ,38.14450,58.80070 ,31.34720,59.65860 
OB shock 07-11 014.jpg,30.65420,68.33680 ,42.56610,69.16170 ,64.93810,69.09570 ,37.94650,59.06460 ,30.68720,61.01150 
PS FN 06-14 001.jpg,30.39020,65.26810 ,37.38560,65.13610 ,54.64300,64.41010 ,42.53310,60.21950 ,31.77610,59.22960 
PS FN 06-14 002.jpg,33.85490,68.03980 ,42.79710,69.16170 ,61.47340,70.97650 ,37.48460,61.80340 ,33.29400,61.77040 
PS FN 06-14 003.jpg,33.49200,68.20480 ,40.12440,68.27080 ,59.19660,66.81890 ,44.41400,60.02150 ,34.31690,62.79330 
PS FN 06-14 005.jpg,33.16200,72.23040 ,41.51020,69.59070 ,57.28280,63.35420 ,35.53780,64.74010 ,31.84210,67.80880 
PS FN 06-14 007.jpg,30.58820,69.62370 ,43.32510,66.71990 ,64.24520,61.67140 ,32.63400,60.48350 ,28.31140,62.46330 
PS FN 06-14 008.jpg,32.53500,66.85190 ,39.82740,68.10580 ,58.40470,68.36980 ,43.78700,60.28550 ,32.07310,61.04450 
PS FN 06-14 010.jpg,32.89800,66.98390 ,41.87320,66.78590 ,60.87950,63.88220 ,38.70550,58.56970 ,31.71010,61.47340 
PS FN 06-14 012.jpg,34.74580,70.77860 ,46.19580,68.89770 ,64.77310,64.24520 ,40.19030,59.62560 ,32.76600,66.85190 
PS FN 06-14 013.jpg,33.65690,68.63380 ,42.20320,68.53480 ,61.60540,64.77310 ,38.27650,60.38450 ,32.13910,63.22230 
PS FN 06-14 014.jpg,30.39020,67.51190 ,39.23340,67.80880 ,64.14620,66.88490 ,32.79900,58.63570 ,29.26830,61.07740 
