imageID	lakeID	lakeDOC	DOCrange	DOC	captureMethod	Sex	Basin
MK_Electro_009.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_010.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_011.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_012.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_013.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	F	7
MK_Electro_014.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_015.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	F	7
MK_Electro2_001.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	F	7
MK_Electro2_002.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_003.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	F	7
MK_Electro2_004.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_005.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_006.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_007.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_008.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_009.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_010.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_011.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_012.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_013.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	F	7
MK_Electro2_014.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro2_015.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
OB_Electro_001.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_002.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_003.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_004.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	U	4
OB_Electro_005.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	F	4
